"Person.ID.1","Role.1","Year.of.Birth.1","Country.of.Birth.1","Home.Language.1","Dept.No..1","Faculty.No..1","With.PHD.1","No..of.Years.in.Uni.at.Time.of.Grant.1","Number.of.Successful.Grant.1","Number.of.Unsuccessful.Grant.1","A..1","A.1","B.1","C.1","index","age","y"
"40572","CHIEF_INVESTIGATOR",1965,"Asia Pacific","Other","3073","31","OtherNA","Less than 0",0,0,4,2,0,0,1,42,"1"
"9067","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2538","25","No","more than 15",0,0,6,12,2,2,2,47,"1"
"5967","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2923","25","No",">5 to 10",0,0,0,3,5,2,3,52,"1"
"78782","PRINCIPAL_SUPERVISOR",1955,"Australia","OtherNA","2678","25","No",">5 to 10",0,0,0,3,13,3,4,52,"1"
"13042","CHIEF_INVESTIGATOR",1965,"Western Europe","OtherNA","2153","19","No",">5 to 10",0,0,3,0,1,0,5,42,"0"
"301472","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2533","25","No",">=0 to 5",2,0,7,27,27,6,6,57,"1"
"74292","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","31","No",">10 to 15",0,0,8,5,2,0,7,47,"0"
"1642","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2563","25","OtherNA","OtherNA",0,3,0,0,0,0,8,42,"0"
"1012","CHIEF_INVESTIGATOR",1945,"Australia","English","3123","31","No",">5 to 10",0,0,8,1,11,0,9,62,"1"
"Other","CHIEF_INVESTIGATOR",1930,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,1,0,0,0,10,77,"1"
"67272","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3098","31","No",">=0 to 5",0,0,2,4,0,0,11,42,"1"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,12,47,"0"
"73882","CHIEF_INVESTIGATOR",1960,"Great Britain","OtherNA","2713","25","OtherNA","Less than 0",1,1,4,3,2,1,13,47,"1"
"38457","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2153","19","OtherNA","Less than 0",0,0,3,4,2,0,14,37,"0"
"9067","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2538","25","No","more than 15",3,3,6,12,2,2,15,47,"1"
"69482","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","Other","25","No",">=0 to 5",0,1,0,0,2,2,16,42,"0"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,17,47,"0"
"26882","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2523","25","No",">=0 to 5",1,0,0,2,1,2,18,57,"1"
"69517","PRINCIPAL_SUPERVISOR",1950,"Australia","English","1258","34","No","more than 15",0,0,6,4,6,32,19,57,"1"
"592577","CHIEF_INVESTIGATOR",1975,"OtherNA","OtherNA","2558","25","OtherNA","OtherNA",0,1,0,0,0,0,20,32,"0"
"15282","CHIEF_INVESTIGATOR",1965,"Australia","English","2713","25","No",">5 to 10",1,1,1,1,2,0,21,42,"1"
"25947","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","1038","1","OtherNA","OtherNA",1,1,0,0,0,0,22,47,"0"
"9067","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2538","25","No","more than 15",3,3,6,12,2,2,23,47,"0"
"4902","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2053","19","No",">5 to 10",1,0,1,3,4,1,24,57,"1"
