Grant.Status,A..papers,A.papers,B.papers,C.papers,Dif.countries,Perc_non_australian,Number.people,PHD,Max.years.univ,Grants.succ,Grants.unsucc,Departments,Perc.Lang.Eng,Perc.Lang.Other,Dif.Role,Perc.CHIEF.INVESTIGATOR,Average.Age,Weekday,Month,Day.of.Month,Day.of.Year,Season,Sponsor.Code,Grant.Category.Code,Contract.Value.Band,RFCD.0,RFCD.1,RFCD.2,RFCD.3,RFCD.4,RFCD.5,RFCD.6,RFCD.7,RFCD.8,RFCD.9,RFCD.10,RFCD.11,RFCD.12,RFCD.13,RFCD.14,RFCD.15,RFCD.16,RFCD.17,RFCD.18,RFCD.19,RFCD.20,RFCD.21,RFCD.22,RFCD.23,RFCD.24,SEO.0,SEO.1,SEO.2,SEO.3,SEO.4,SEO.5,SEO.6,SEO.7,SEO.8,SEO.9,SEO.10,SEO.11,SEO.12,SEO.13,SEO.14,SEO.15,SEO.16,SEO.17,SEO.18,SEO.19
1,4.0,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1.0,1,1.0,52.0,3,8,11,223,3,0.0,0.0,50000,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,6.0,12.0,2.0,2.0,1,1.0,1,1.0,20.0,0.0,0.0,1,0.0,0.0,1,1.0,57.0,4,11,11,315,4,2.0,1.0,100000,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,7.0,20.0,20.0,7.0,2,0.75,4,2.0,50.0,0.0,0.0,3,0.0,0.0,3,0.42857142857142855,65.75,0,11,14,318,4,29.0,5.0,50000,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0.0,3.0,13.0,3.0,1,1.0,2,2.0,15.0,0.0,0.0,1,0.0,0.0,4,0.16666666666666666,52.0,1,11,15,319,4,40.0,5.0,200000,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,3.0,0.0,1.0,0.0,1,0.0,1,1.0,10.0,0.0,0.0,1,0.0,0.0,1,1.0,52.0,2,11,16,320,4,59.0,1.0,50000,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7.0,27.0,27.0,6.0,1,1.0,1,1.0,5.0,2.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,4.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,8.0,12.0,14.0,4.0,2,0.6666666666666666,3,2.0,30.0,0.0,1.0,1,0.0,0.0,2,0.75,60.33333333333334,5,11,19,323,4,2.0,1.0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0.0,0.0,0.0,0.0,1,1.0,2,0.0,0.0,0.0,3.0,1,0.0,0.0,2,0.6666666666666666,64.5,5,11,19,323,4,28.0,6.0,50000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8.0,1.0,11.0,0.0,1,1.0,2,2.0,20.0,2.0,1.0,1,1.0,0.0,2,0.5,69.5,5,11,19,323,4,2.0,1.0,2000000,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.25,87.0,5,11,19,323,4,2.0,1.0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,2.0,4.0,0.0,0.0,1,1.0,2,2.0,25.0,1.0,0.0,1,0.0,0.0,1,1.0,59.5,5,11,19,323,4,2.0,1.0,1000000,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,2,0.5,57.0,5,11,19,323,4,136.0,6.0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,4.0,3.0,2.0,1.0,1,0.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,4.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.0,4.0,2.0,0.0,1,1.0,2,0.0,0.0,0.0,1.0,2,0.0,0.0,2,0.5,52.0,5,11,19,323,4,0.0,0.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.0,17.0,3.0,2.0,2,0.6666666666666666,3,3.0,50.0,3.0,5.0,3,0.0,1.0,3,0.4,60.33333333333334,5,11,19,323,4,2.0,1.0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0.0,0.0,2.0,2.0,1,1.0,1,1.0,5.0,0.0,1.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,100.0,5.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,1.0,1.0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,0.0,2.0,1.0,2.0,1,1.0,1,1.0,5.0,1.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,21.0,4.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1,6.0,4.0,6.0,32.0,1,1.0,2,2.0,35.0,2.0,0.0,1,1.0,0.0,3,0.25,62.0,5,11,19,323,4,2.0,1.0,500000,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,24.0,6.0,50000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.0,1.0,2.0,0.0,1,1.0,1,1.0,10.0,1.0,1.0,1,1.0,0.0,1,1.0,52.0,5,11,19,323,4,148.0,6.0,50000,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,12.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6.0,12.0,2.0,2.0,1,1.0,2,1.0,40.0,3.0,3.0,2,0.0,0.0,2,0.5,62.0,5,11,19,323,4,62.0,5.0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.0,3.0,4.0,1.0,1,1.0,2,2.0,10.0,1.0,0.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,2.0,1.0,300000,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,3.0,3.0,1.0,1,1.0,2,1.0,20.0,1.0,1.0,2,1.0,0.0,3,0.3333333333333333,59.5,5,11,19,323,4,138.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,5.0,1.0,4.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,0.0,0.0,50000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.0,3.0,1.0,0.0,1,1.0,1,0.0,10.0,1.0,5.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,0.0,0.0,200000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,2.0,2.0,0.0,1,1.0,1,1.0,10.0,0.0,1.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,0.0,0.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,2,0.25,57.0,5,11,19,323,4,60.0,10.0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4.0,8.0,3.0,2.0,2,0.5,4,1.0,10.0,3.0,0.0,1,0.0,0.0,1,1.0,59.5,5,11,19,323,4,2.0,1.0,100000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,5.0,0.0,1.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,143.0,6.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,4.0,2.0,3.0,1.0,1,1.0,2,2.0,10.0,1.0,2.0,1,1.0,0.0,3,0.3333333333333333,54.5,5,11,19,323,4,60.0,10.0,2000000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,29.0,24.0,31.0,13.0,2,0.8333333333333334,6,5.0,50.0,4.0,0.0,2,1.0,0.0,2,0.8571428571428571,52.83333333333334,5,11,19,323,4,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,24.0,6.0,50000,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,8.0,3.0,1.0,0.0,1,1.0,1,1.0,5.0,2.0,1.0,1,0.0,0.0,2,0.3333333333333333,57.0,5,11,19,323,4,2.0,1.0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0.0,5.0,2.0,0.0,1,1.0,1,0.0,0.0,0.0,2.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,148.0,6.0,50000,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,3.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,47.0,5,11,19,323,4,0.0,0.0,50000,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.0,7.0,9.0,1.0,1,1.0,1,0.0,10.0,1.0,5.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,90.0,13.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4.0,9.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,2,0.16666666666666666,47.0,5,11,19,323,4,2.0,1.0,1000000,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,2.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,0.0,0.0,100000,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,2.0,5.0,2.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,77.0,5,11,19,323,4,18.0,7.0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,7.0,19.0,26.0,13.0,1,1.0,1,1.0,15.0,3.0,1.0,1,0.0,0.0,2,0.5,72.0,5,11,19,323,4,4.0,1.0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,9.0,11.0,14.0,2.0,2,0.8,5,4.0,45.0,5.0,4.0,1,0.0,0.0,2,0.8,54.0,5,11,19,323,4,29.0,5.0,50000,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,10.0,19.0,7.0,6.0,1,1.0,1,1.0,10.0,1.0,0.0,1,0.0,0.0,2,0.5,47.0,5,11,19,323,4,136.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,9.0,8.0,8.0,4.0,1,1.0,1,1.0,10.0,1.0,6.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,89.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1.0,0.0,9.0,4.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,72.0,5,11,19,323,4,0.0,0.0,50000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
1,0.0,2.0,4.0,1.0,1,1.0,2,1.0,30.0,1.0,1.0,1,0.0,0.0,2,0.5,77.0,5,11,19,323,4,2.0,1.0,400000,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,10.0,7.0,9.0,1.0,2,0.5,2,1.0,15.0,1.0,5.0,1,0.0,1.0,1,1.0,52.0,5,11,19,323,4,40.0,5.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,5.0,0.0,3.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,34.0,8.0,50000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,16.0,15.0,13.0,15.0,1,1.0,1,1.0,15.0,2.0,0.0,1,0.0,0.0,2,0.5,57.0,5,11,19,323,4,2.0,1.0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,3.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,47.0,5,11,19,323,4,21.0,4.0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
