Grant.Application.ID,Survived
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,0
309,1
310,0
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,0
509,1
510,0
511,0
512,1
513,0
514,1
515,0
516,1
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,0
534,1
535,0
536,0
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,0
599,0
600,1
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,1
621,0
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,1
689,0
690,0
691,1
692,1
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,0
725,0
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,1
734,0
735,0
736,1
737,1
738,0
739,1
740,0
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,1
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,1
828,0
829,1
830,0
831,0
832,1
833,0
834,1
835,1
836,0
837,0
838,1
839,0
840,1
841,0
842,0
