,A..papers,A.papers,B.papers,C.papers,Dif.countries,Perc_non_australian,Number.people,PHD,Max.years.univ,Grants.succ,Grants.unsucc,Departments,Perc.Lang.Eng,Perc.Lang.Other,Dif.Role,Perc.CHIEF.INVESTIGATOR,Average.Age,Weekday,Month,Day.of.Month,Day.of.Year,Season,Sponsor.Code,Grant.Category.Code,Contract.Value.Band,RFCD.Code,SEO.Code
0,4.0,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1.0,1,1.0,52.0,3,8,11,223,3,0.0,0.0,50000,"[4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,6.0,12.0,2.0,2.0,1,1.0,1,1.0,20.0,0.0,0.0,1,0.0,0.0,1,1.0,57.0,4,11,11,315,4,2.0,1.0,100000,"[2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,7.0,20.0,20.0,7.0,2,0.75,4,2.0,50.0,0.0,0.0,3,0.0,0.0,3,0.42857142857142855,65.75,0,11,14,318,4,29.0,5.0,50000,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
3,0.0,3.0,13.0,3.0,1,1.0,2,2.0,15.0,0.0,0.0,1,0.0,0.0,4,0.16666666666666666,52.0,1,11,15,319,4,40.0,5.0,200000,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
4,3.0,0.0,1.0,0.0,1,0.0,1,1.0,10.0,0.0,0.0,1,0.0,0.0,1,1.0,52.0,2,11,16,320,4,59.0,1.0,50000,"[2, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
5,7.0,27.0,27.0,6.0,1,1.0,1,1.0,5.0,2.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,4.0,1.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
6,8.0,12.0,14.0,4.0,2,0.6666666666666666,3,2.0,30.0,0.0,1.0,1,0.0,0.0,2,0.75,60.333333333333336,5,11,19,323,4,2.0,1.0,0,"[2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
7,0.0,0.0,0.0,0.0,1,1.0,2,0.0,0.0,0.0,3.0,1,0.0,0.0,2,0.6666666666666666,64.5,5,11,19,323,4,28.0,6.0,50000,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
8,8.0,1.0,11.0,0.0,1,1.0,2,2.0,20.0,2.0,1.0,1,1.0,0.0,2,0.5,69.5,5,11,19,323,4,2.0,1.0,2000000,"[3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
9,1.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.25,87.0,5,11,19,323,4,2.0,1.0,0,"[2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
